,name,difficulty_code,district,difficulty,description,polyline
3315,21ST AVE SW,e,Current,#00FF00,Enhanced Street,"[(47.56834513263783, -122.36012982981836), (47.56749354544865, -122.36015049598224), (47.56745742785389, -122.36012365466235), (47.567387818961606, -122.36009728978202), (47.5666108731464, -122.36011577064646)]"
3318,EAST GREEN LAKE WAY N,i,Current,#FFFF00,In street major separation,"[(47.678358842337765, -122.32939077271485), (47.67831085102891, -122.32827692745985)]"
3320,GREEN LAKE WAY N,i,Current,#FFFF00,In street major separation,"[(47.66844905173826, -122.34007290935628), (47.66865742158343, -122.34005203558625), (47.66869716994072, -122.34004252251921), (47.668728780677405, -122.34003544013328), (47.668785041829, -122.34002571361184)]"
3321,8TH AVE NW,d,Current,#FF0000,In street minor separation,"[(47.66641973284742, -122.36618386612724), (47.66677917566131, -122.36618290559761), (47.66718251639567, -122.36618182636366)]"
3322,STONE WAY N,d,Current,#FF0000,In street minor separation,"[(47.662125316526804, -122.3421154708219), (47.66223485691205, -122.34196838983526), (47.6625090644717, -122.34180647314867), (47.66254289514885, -122.34178649457924), (47.66278326545556, -122.34164455664825), (47.662865530655665, -122.34159597859924)]"
3324,N 34TH ST,d,Current,#FF0000,In street minor separation,"[(47.648038669890674, -122.33515508864147), (47.648031906652655, -122.33391399397698)]"
3326,CALIFORNIA AVE SW,d,Current,#FF0000,Sharrows,"[(47.52928738941754, -122.38738561855082), (47.52853947758345, -122.38739401192198)]"
3327,8TH AVE,d,Current,#FF0000,In street minor separation,"[(47.6140565618106, -122.33406083337321), (47.61409383105292, -122.33411158398123), (47.61495251856358, -122.33529537710609)]"
3329,5TH AVE NE,d,Current,#FF0000,In street minor separation,"[(47.6835378482946, -122.32290725896704), (47.68388446465276, -122.32291204586859), (47.68414486398231, -122.32291564185947), (47.684457022347814, -122.32291983084954), (47.6849540864152, -122.32292650164005), (47.68507268804677, -122.32292811481916)]"
3334,35TH AVE NE,i,Current,#FFFF00,In street major separation,"[(47.69929174043029, -122.29061710152654), (47.70020580871153, -122.29065994816374)]"
3337,ROY ST,d,Current,#FF0000,In street minor separation,"[(47.62544738093117, -122.35409137924366), (47.62544254817119, -122.35278492845507)]"
3338,MAGNOLIA BLVD W,d,Current,#FF0000,In street minor separation,"[(47.635891008582064, -122.40502005659224), (47.63591621799679, -122.40503782595977), (47.63595266860837, -122.40505931455515), (47.63599342820038, -122.40510132149733), (47.636038873318206, -122.40513667476992), (47.63611627036669, -122.4051865834659), (47.63618643498119, -122.40526054198186), (47.63697679050634, -122.40653719720453), (47.637730561741385, -122.40775421732491)]"
3341,CHERRY ST,d,Current,#FF0000,In street minor separation,"[(47.60301939434471, -122.33317224728576), (47.60301943855644, -122.33317214165743), (47.60322648560456, -122.33267734724416), (47.60348389061213, -122.33206224768504)]"
3343,ROOSEVELT WAY NE,i,Current,#FFFF00,In street major separation,"[(47.658369290883634, -122.3177801238008), (47.659455946479085, -122.31775170752368)]"
3345,S HOLLY ST,e,Current,#00FF00,Enhanced Street,"[(47.54249118497185, -122.26990970707216), (47.542491177547724, -122.269908350907), (47.542480954380885, -122.2671565633756)]"
3347,HUNTER BLVD S,d,Current,#FF0000,Sharrows,"[(47.575254473346284, -122.28494355771953), (47.5752386627903, -122.284970603927), (47.57522596154185, -122.28499080126535), (47.57521553412311, -122.2850049324497), (47.575205097502014, -122.28501978431072), (47.57519302726853, -122.28502882207411), (47.57517983368967, -122.28503177470559), (47.57500623104098, -122.28503446977659), (47.573736968530994, -122.28504814151131)]"
3348,31ST AVE S,d,Current,#FF0000,In street minor separation,"[(47.589434479919035, -122.29249211860731), (47.589421339515404, -122.29250579324676), (47.58941354122698, -122.29251238654241), (47.58940589150258, -122.29251790488937), (47.58939490548106, -122.2925243486432), (47.589384036562784, -122.29252916040906), (47.58938401929077, -122.29253050673815), (47.58798380811093, -122.29253767994463)]"
3349,LINDEN AVE N,i,Current,#FFFF00,In street major separation,"[(47.73103975174709, -122.34776411377987), (47.73104523733717, -122.34776418016719), (47.73231418059035, -122.34777954900292)]"
3353,5TH AVE NE,d,Current,#FF0000,In street minor separation,"[(47.68088101127472, -122.32287108086166), (47.68162465742227, -122.32288264668104)]"
3355,DENSMORE AVE N,d,Current,#FF0000,Sharrows,"[(47.71711499509362, -122.33729387548236), (47.71793027011581, -122.33773334893243), (47.71957103008302, -122.33861784486227)]"
3356,BEACON AVE S,d,Current,#FF0000,Sharrows,"[(47.536973713081395, -122.29309416260507), (47.53663349785284, -122.29258362474744), (47.535894564700236, -122.29148334280724)]"
3361,ROOSEVELT WAY NE,i,Current,#FFFF00,In street major separation,"[(47.69583361792789, -122.31758994460327), (47.696744297977894, -122.31758564431445)]"
3362,12TH AVE,d,Current,#FF0000,In street minor separation,"[(47.61039501291271, -122.31677935348054), (47.61055500607791, -122.31677929134116), (47.61156267707822, -122.31677889087152)]"
3364,N 44TH ST,e,Current,#00FF00,Enhanced Street,"[(47.66030575884472, -122.3349975931872), (47.660299391682116, -122.33376490765903), (47.660296472922845, -122.33374316997774)]"
3367,18TH AVE S,e,Current,#00FF00,Enhanced Street,"[(47.58027586450591, -122.30978889450923), (47.57958094586481, -122.30979688709215)]"
3368,S ALBRO PL,i,Current,#FFFF00,In street major separation,"[(47.54543086859827, -122.31808760659439), (47.54547155892122, -122.31800495107767), (47.545958656119204, -122.31701548683634), (47.5460230704427, -122.31688463496087)]"
3374,NW 58TH ST,e,Current,#00FF00,Enhanced Street,"[(47.67091620602914, -122.38758737057994), (47.67091982786657, -122.39014237802127)]"
3376,TAYLOR AVE N,d,Current,#FF0000,In street minor separation,"[(47.62890668898409, -122.34623209505354), (47.62973482734949, -122.34622284679588)]"
3377,8TH AVE NW,d,Current,#FF0000,In street minor separation,"[(47.6621930853449, -122.36619534525195), (47.662922153185825, -122.36619335899091)]"
3382,S DEARBORN ST,i,Current,#FFFF00,In street major separation,"[(47.59583116752213, -122.32245866424154), (47.59583154744568, -122.32137099631768)]"
3383,N 50TH ST,i,Current,#FFFF00,In street major separation,"[(47.66503744253085, -122.34208204528416), (47.66503569806029, -122.34062088238264), (47.66503444657067, -122.34020747333888)]"
3386,E YESLER WAY,d,Current,#FF0000,In street minor separation,"[(47.60168055343689, -122.31026488508982), (47.60167832987498, -122.30895948870923)]"
3389,AIRPORT WAY S,i,Current,#FFFF00,In street major separation,"[(47.55076113922169, -122.31841328069042), (47.550662948376065, -122.31831504329583), (47.55030303135186, -122.31795498252882), (47.55010246769241, -122.31775433945414)]"
3390,20TH AVE NW,d,Current,#FF0000,In street minor separation,"[(47.67309637799991, -122.38221487465269), (47.67382610474514, -122.3822148305573)]"
3391,12TH AVE NE,i,Current,#FFFF00,In street major separation,"[(47.67189698777594, -122.3157727549524), (47.671897811733906, -122.3157716861925), (47.6718989276038, -122.31577024746865), (47.671900048290816, -122.31576881615688), (47.671901171717, -122.31576739011939), (47.67190229927226, -122.31576597043522), (47.67190343025485, -122.3157645570843), (47.67190456466461, -122.31576315006663), (47.671905702501846, -122.31576174938218), (47.671906844467955, -122.31576035505107), (47.671907989159784, -122.31575896703316), (47.671909137980634, -122.31575758536853), (47.671910289527105, -122.31575621001707), (47.671911445202575, -122.31575484101894), (47.67191260430536, -122.3157534783541), (47.6719137661338, -122.31575212200248), (47.67191493209127, -122.3157507720042), (47.67191610147598, -122.3157494283391), (47.671917273586374, -122.31574809098723), (47.671918450513964, -122.31574676104749), (47.67191962876377, -122.3157454373811), (47.67192081114262, -122.31574412006783), (47.67192199765048, -122.31574280910797), (47.671923186182305, -122.31574150444125), (47.671924378829615, -122.31574020716673), (47.6719255735144, -122.31573891514657), (47.671926773016324, -122.31573763053854), (47.67192797523038, -122.31573635328269), (47.67192918018367, -122.31573508130107), (47.67193038925233, -122.31573381671163), (47.67193160103323, -122.31573255947447), (47.671932815553156, -122.31573130751151), (47.671934033473434, -122.31573006395969), (47.67193525483459, -122.31572882570212), (47.67193647890789, -122.31572759479673), (47.67193770640839, -122.31572637022465), (47.67193893732279, -122.3157251530247), (47.67194016955943, -122.31572394209793), (47.67194140731493, -122.31572273860337), (47.67194264639271, -122.315721541382), (47.671943888884364, -122.31572035153276), (47.67194513480325, -122.31571916801678), (47.67194638343428, -122.31571799185303), (47.67194763479093, -122.3157168220024), (47.67194888885973, -122.3157156595039), (47.67195014635587, -122.31571450333871), (47.67195140655061, -122.31571335556458), (47.67195267018617, -122.31571221308474), (47.671953935818664, -122.31571107897591), (47.671955204878515, -122.31570995120032), (47.671956476650465, -122.31570883077698), (47.67195775114801, -122.31570771666682), (47.67195902905943, -122.31570660992868), (47.67196030827956, -122.31570551050281), (47.67196159092703, -122.31570441741017), (47.671962876273156, -122.31570333270847), (47.671964164344836, -122.31570225432009), (47.67196545583037, -122.31570118330373), (47.67196674933984, -122.31570011858079), (47.67196804554797, -122.31569906224874), (47.671969345169806, -122.31569801328888), (47.67197064682923, -122.31569696958337), (47.67197195048549, -122.31569593424885), (47.67197325755564, -122.31569490628648), (47.671974567337855, -122.31569388567628), (47.671975879144036, -122.31569287135925), (47.67197719363529, -122.31569186647214), (47.67197851087925, -122.3156908658205), (47.67197983012014, -122.31568987353978), (47.671981152761276, -122.31568888967027), (47.67198247672476, -122.31568791207394), (47.67198380410202, -122.31568694184979), (47.6719851335032, -122.31568597791878), (47.67198646557601, -122.31568502445664), (47.671987799686235, -122.31568407624874), (47.67198913650861, -122.31568313539303), (47.6719904753279, -122.31568220290839), (47.67199181617121, -122.3156812767168), (47.67199316111642, -122.3156803589565), (47.671994505980514, -122.31567944742933), (47.67199585424498, -122.31567854431314), (47.67199720523505, -122.3156776475102), (47.67199855752036, -122.3156767590583), (47.67199991251781, -122.31567587795861), (47.672001269525715, -122.31567500419095), (47.67200262923217, -122.31567413881433), (47.672003990962644, -122.31567327973089), (47.67200535469001, -122.31567242901859), (47.672006720427746, -122.31567158563834), (47.672008088176035, -122.3156707495902), (47.672009458649896, -122.31566991985534), (47.67201083039197, -122.31566910054919), (47.67201220487324, -122.31566828651756), (47.672013580636225, -122.3156674818757), (47.672014959124844, -122.31566668354706), (47.67201633962395, -122.31566589255064), (47.67201772141819, -122.31566510990517), (47.672019105924605, -122.31566433461197), (47.67202049173977, -122.3156635666307), (47.67202188025364, -122.31566280704058), (47.67202327007614, -122.31566205476264), (47.67202466189563, -122.31566131085557), (47.672026055752575, -122.31566057220294), (47.672030763421134, -122.31565811455191), (47.67212465188743, -122.31565807470557), (47.67217985144577, -122.31565805172445), (47.67242532786521, -122.31565808894331)]"
3396,S JACKSON ST,i,Current,#FFFF00,In street major separation,"[(47.59923284045419, -122.29741468397968), (47.59921894310667, -122.29623165972308)]"
3397,S JACKSON ST,i,Current,#FFFF00,In street major separation,"[(47.59920304450143, -122.29501981649327), (47.59919424129979, -122.29441168570818)]"
3399,NE 75TH ST,d,Current,#FF0000,In street minor separation,"[(47.68304789641537, -122.29588582934245), (47.68304794921398, -122.29576402070006), (47.683048365896774, -122.29476708218331)]"
3400,S GENESEE ST,d,Current,#FF0000,In street minor separation,"[(47.564140474584384, -122.28280371701841), (47.56414771185673, -122.28172634543078)]"
3401,BEACON AVE S,d,Current,#FF0000,Sharrows,"[(47.525089090035884, -122.28763315040928), (47.52498440609031, -122.2875678240979), (47.524889205618635, -122.28749617578382), (47.52479736758294, -122.28742308986052), (47.5246809374588, -122.28732066500629), (47.524575002887715, -122.28721570735213), (47.524479034935595, -122.28711170069005), (47.52437200932507, -122.28698771060779), (47.52433783864772, -122.28694787625257), (47.5242731684262, -122.28687248744204), (47.523736086430475, -122.28624682926284)]"
3402,STONE WAY N,d,Current,#FF0000,In street minor separation,"[(47.65995950876517, -122.34221726565724), (47.660672121995454, -122.3421813253812)]"
3403,35TH AVE NE,i,Current,#FFFF00,In street major separation,"[(47.68304823602605, -122.29047889427667), (47.684857529890564, -122.29053796626789)]"
3406,5TH AVE NE,d,Current,#FF0000,In street minor separation,"[(47.68750650545647, -122.32296092569015), (47.687516487521926, -122.3229610621817), (47.68822932916403, -122.32297079427202), (47.68823223782803, -122.3229725295721)]"
3407,12TH AVE S,i,Current,#FFFF00,In street major separation,"[(47.59833759422017, -122.3172279799505), (47.59749957249394, -122.31722672857235)]"
3410,12TH AVE NE,i,Current,#FFFF00,In street major separation,"[(47.67658125557089, -122.31567010134808), (47.67730497289086, -122.31568058621818)]"
3416,16TH AVE SW,d,Current,#FF0000,Sharrows,"[(47.530076922058825, -122.35505374073091), (47.52828652940986, -122.35506340336926)]"
3418,ROOSEVELT WAY NE,i,Current,#FFFF00,In street major separation,"[(47.66710635845232, -122.31737981141703), (47.66857701644968, -122.31736371571111)]"
3419,14TH AVE S,d,Current,#FF0000,In street minor separation,"[(47.60084904066034, -122.31413108986148), (47.60001091520904, -122.31413300399241)]"
3420,GREEN LAKE WAY N,i,Current,#FFFF00,In street major separation,"[(47.666407175110876, -122.34009052643569), (47.667085683843005, -122.34008543009013)]"
3422,5TH AVE NE,d,Current,#FF0000,In street minor separation,"[(47.66315189509931, -122.32288157761556), (47.664345194639886, -122.32286913454128)]"
3425,N 125TH ST,d,Current,#FF0000,Sharrows,"[(47.719571237560885, -122.3395592269292), (47.719571230121964, -122.33955447602885), (47.71957103008302, -122.33861784486227)]"
3427,BEACON AVE S,d,Current,#FF0000,Sharrows,"[(47.544281770686425, -122.29996868220647), (47.54358276575529, -122.29975498456355)]"
3428,RAINIER AVE S,i,Current,#FFFF00,In street major separation,"[(47.51161897688248, -122.24832390540361), (47.51137582851134, -122.24800743694001), (47.51131533171167, -122.24792150091014), (47.51126013671175, -122.24782811682479), (47.51121066005768, -122.24772799219934), (47.51116727970838, -122.24762188943781), (47.511130324639886, -122.24751061519122), (47.51110007281801, -122.24739501408735), (47.51107675687657, -122.24727596370577), (47.51106055435883, -122.24715436913446), (47.511051587119766, -122.24703115466643)]"
3431,ROOSEVELT WAY NE,i,Current,#FFFF00,In street major separation,"[(47.65630185018155, -122.31783423881323), (47.65688930555224, -122.31781903018128)]"
3432,2ND AVE,i,Current,#FFFF00,In street major separation,"[(47.61027832225589, -122.3398124584665), (47.61066805924447, -122.34016904097047), (47.6109480693223, -122.3404253233915), (47.61096394967503, -122.34045214045702)]"
3434,N 34TH ST,i,Current,#FFFF00,In street major separation,"[(47.64884179422898, -122.3447658762862), (47.64883204789937, -122.3447010654444), (47.6487328635987, -122.34404152104783)]"
3437,8TH AVE NW,d,Current,#FF0000,In street minor separation,"[(47.66438069433161, -122.36618929746567), (47.66503748206472, -122.36618751860388)]"
3442,63RD AVE SW,d,Current,#FF0000,In street minor separation,"[(47.573360125279656, -122.41342746357043), (47.57308175087301, -122.4134361941668)]"
3445,W NICKERSON ST,d,Current,#FF0000,In street minor separation,"[(47.650829208020525, -122.3608772568057), (47.651637513514636, -122.36446199100105)]"
3449,N 34TH ST,d,Current,#FF0000,In street minor separation,"[(47.648045089821466, -122.33635091720306), (47.648038669890674, -122.33515508864147)]"
3454,S ALASKA ST,i,Current,#FFFF00,In street major separation,"[(47.56076420272289, -122.29101390627525), (47.56075893702011, -122.28992442539713)]"
3455,N 50TH ST,i,Current,#FFFF00,In street major separation,"[(47.66504460262546, -122.34606372365522), (47.66500445882086, -122.34473350753346), (47.665004059613565, -122.34451890219279)]"
3461,31ST AVE S,d,Current,#FF0000,In street minor separation,"[(47.58628819775052, -122.29301364721441), (47.58624240563226, -122.2929989768476), (47.58623664799459, -122.29299768448699), (47.58623084791506, -122.29299690970839), (47.5862250263912, -122.29299665725082), (47.58597332407837, -122.29299703484345), (47.585152010009, -122.29299828463175)]"
3462,16TH AVE SW,d,Current,#FF0000,In street minor separation,"[(47.53549346696922, -122.35501856280614), (47.534557669940554, -122.35502573391388)]"
3463,W GOVERNMENT WAY,i,Current,#FFFF00,In street major separation,"[(47.661313153160236, -122.39609837935348), (47.661310006467694, -122.3971552440238)]"
3464,COLLEGE WAY N,i,Current,#FFFF00,In street major separation,"[(47.69595242959594, -122.33502421601665), (47.69777159246713, -122.33503550807107)]"
3466,SWIFT AVE S,i,Current,#FFFF00,In street major separation,"[(47.54285429149712, -122.30347680095616), (47.54240190705239, -122.30319702332193), (47.54210555400373, -122.30299303438547), (47.54183989954443, -122.30275637754052), (47.541544556313205, -122.30247417082906), (47.54123080163656, -122.3021523240826), (47.540922328801294, -122.30181968106797)]"
3471,S HENDERSON ST,i,Current,#FFFF00,In street major separation,"[(47.52331233991424, -122.27640325589718), (47.52331186300591, -122.2753200542658), (47.52330978958139, -122.27424225967212)]"
3473,26TH AVE SW,e,Current,#00FF00,Enhanced Street,"[(47.56762032712004, -122.36543837822083), (47.5668966632496, -122.36544986919381)]"
3478,8TH AVE S,i,Current,#FFFF00,In street major separation,"[(47.52816517783776, -122.32288728895952), (47.52731537386162, -122.32290160286755)]"
3479,4TH AVE,i,Current,#FFFF00,In street major separation,"[(47.60466155925536, -122.3316043098544), (47.60537424610422, -122.3322565570365)]"
3481,7TH AVE S,d,Current,#FF0000,In street minor separation,"[(47.595833305895844, -122.32376363220045), (47.59499415811495, -122.32376657385558)]"
3482,ROOSEVELT WAY NE,i,Current,#FFFF00,In street major separation,"[(47.707650776913745, -122.3178390729317), (47.7084729435576, -122.31785093781667), (47.70847842335486, -122.31785101644971), (47.70848390945375, -122.31785109630292), (47.70856098794402, -122.31785221061624)]"
3483,26TH AVE SW,e,Current,#00FF00,Enhanced Street,"[(47.5668966632496, -122.36544986919381), (47.56653484712183, -122.3654555092344)]"
3484,EASTLAKE AVE E,i,Current,#FFFF00,In street major separation,"[(47.62687702785865, -122.32921631040425), (47.62736301368448, -122.32922895910879), (47.627751567956444, -122.32923907295604), (47.627831047551624, -122.32924114162532)]"
3485,SW MORGAN ST,i,Current,#FFFF00,In street major separation,"[(47.54473088366617, -122.3791388616516), (47.5447668166061, -122.38050566093416)]"
3486,S COLUMBIAN WAY,i,Current,#FFFF00,In street major separation,"[(47.560429330856024, -122.30120805947952), (47.56071664296946, -122.30040142889358), (47.5609815052059, -122.29969416372568), (47.5614470298396, -122.29853727361723), (47.56148461117507, -122.2984369206204), (47.56150213737522, -122.29838659805425), (47.56151390527929, -122.2983500162153), (47.56152628448997, -122.29830935519514), (47.56153805374397, -122.29826830884613), (47.561549217265906, -122.29822709403227), (47.56155881615764, -122.29818914547087), (47.56156878630922, -122.29814706119609), (47.561603474673596, -122.29798687851208), (47.561624261707095, -122.297837025812), (47.56163743709651, -122.29769253005144), (47.561643574741865, -122.29750883479842), (47.5616372842132, -122.29728310366929)]"
3490,BEACON AVE S,d,Current,#FF0000,Sharrows,"[(47.547726622680514, -122.30104005865299), (47.54637930086113, -122.30060074839145)]"
3491,PHINNEY AVE N,i,Current,#FFFF00,In street major separation,"[(47.67179376392038, -122.35438656958469), (47.67248685296637, -122.35437964787775)]"
3492,19TH AVE,d,Current,#FF0000,Sharrows,"[(47.6167327598922, -122.30740915922438), (47.61760476727831, -122.30739825427622)]"
3493,MAGNOLIA BLVD W,d,Current,#FF0000,In street minor separation,"[(47.64501812447289, -122.41380925965885), (47.645081278665195, -122.41388545710831), (47.64516552596877, -122.41397659330381), (47.64524157519006, -122.41404217446828), (47.64532198607841, -122.41410156032707), (47.64541112030765, -122.41414855847712), (47.64552069980501, -122.41419577741048)]"
3498,8TH AVE NW,d,Current,#FF0000,In street minor separation,"[(47.68693635865744, -122.36600173215139), (47.68766018450507, -122.36600003463907)]"
3499,BROADWAY,i,Current,#FFFF00,In street major separation,"[(47.6175712903497, -122.32083583080171), (47.617803861776814, -122.32083954637805), (47.61873954239353, -122.32085448436386)]"
3500,51ST AVE S,d,Current,#FF0000,In street minor separation,"[(47.51995899714782, -122.26992620715997), (47.51988681396645, -122.26995052939395), (47.519794813812965, -122.269961117461), (47.519038181217276, -122.26999580036308)]"
3501,12TH AVE NE,i,Current,#FFFF00,In street major separation,"[(47.680844545020335, -122.31563642038223), (47.681131648766645, -122.3155383832365), (47.681406480253095, -122.31537838991137), (47.68153242279842, -122.31534594725119)]"
3506,8TH AVE NW,d,Current,#FF0000,Sharrows,"[(47.692812737848605, -122.3660054759959), (47.69353641287872, -122.36600965447583)]"
3508,35TH AVE NE,i,Current,#FFFF00,In street major separation,"[(47.69237362468695, -122.29065850000987), (47.69238009520524, -122.29065833634766), (47.69309316290127, -122.29064048438795), (47.693097332374805, -122.29064038093536)]"
3517,8TH AVE NW,d,Current,#FF0000,In street minor separation,"[(47.67453636309727, -122.36608156217176), (47.67526545390691, -122.36605274292187)]"
3518,FAUNTLEROY WAY SW,i,Current,#FFFF00,In street major separation,"[(47.53580354247854, -122.39257830332521), (47.53545534276887, -122.3926477676049), (47.53525214948894, -122.3926503320667), (47.53525196834227, -122.39265033493845), (47.53496876202485, -122.39265393292384)]"
3524,TAYLOR AVE N,d,Current,#FF0000,In street minor separation,"[(47.63170349352795, -122.34626615548548), (47.63184189930374, -122.34613588473678), (47.63185538977923, -122.34612318722789), (47.631881526954785, -122.34609858596245), (47.632041953904285, -122.34598503859725), (47.632110076133365, -122.34595967055398), (47.6322149564171, -122.34595056535605), (47.63230055009249, -122.34595511597325)]"
3529,CALIFORNIA AVE SW,d,Current,#FF0000,In street minor separation,"[(47.53853287027006, -122.38728399954202), (47.53850392118985, -122.38728431067767), (47.53825195464073, -122.38728706185665)]"
3531,LATONA AVE NE,d,Current,#FF0000,In street minor separation,"[(47.65894922379975, -122.3251427802352), (47.66021064219889, -122.32512436616773)]"
3537,SHIP CANAL TRL,e,Current,#00FF00,Multi use Trail,"[(47.653886722515395, -122.3801487055215), (47.65388583161676, -122.38015078074395), (47.65389432123224, -122.38038394084833), (47.6538978051076, -122.3805565681261), (47.65394183665851, -122.38074765454093), (47.65402606353491, -122.38098306959276), (47.65411099382345, -122.3811667483322), (47.6552665199586, -122.38277116103556), (47.65532337316704, -122.3828763708594), (47.655368808144495, -122.38296398988905), (47.65541389245534, -122.38307747673966), (47.655492875258766, -122.38326961403), (47.655532718635186, -122.38333981313414), (47.65556137864109, -122.38337517430013), (47.65563076376976, -122.38338644607262)]"
3538,35TH AVE NE,i,Current,#FFFF00,In street major separation,"[(47.69092620712482, -122.29069473658552), (47.69093201898977, -122.2906945908435), (47.69164508675264, -122.29067673883975), (47.69164991346353, -122.29067661848114)]"
3541,ROOSEVELT WAY NE,i,Current,#FFFF00,In street major separation,"[(47.69492260927214, -122.3175942488703), (47.69583361792789, -122.31758994460327)]"
3542,NE 42ND ST,d,Current,#FF0000,In street minor separation,"[(47.657693216658295, -122.32566211958203), (47.65769018175029, -122.32516106315877)]"
3543,TAYLOR AVE N,d,Current,#FF0000,In street minor separation,"[(47.62455804885226, -122.34626626480417), (47.6250849153079, -122.34626192118547), (47.62541810398628, -122.34625917552498)]"
