,name,difficulty_code,district,difficulty,description,polyline
125,BEACON AVE S,d,Current,#FF0000,Sharrows,"[(47.52290815891362, -122.2849389438432), (47.52261298630149, -122.28460270790346)]"
126,DEXTER AVE,i,Current,#FFFF00,In street major separation,"[(47.617987296587515, -122.34240881823881), (47.61855016545617, -122.34240185396769)]"
127,SEWARD PARK AVE S,d,Current,#FF0000,In street minor separation,"[(47.55430487312108, -122.2646359880697), (47.554180768426285, -122.26453434022372), (47.55339076300978, -122.26388734519341), (47.55334959440316, -122.26385362957214)]"
131,E CHERRY ST,d,Current,#FF0000,In street minor separation,"[(47.60799593979626, -122.29584502782045), (47.607994362895504, -122.29490756766786)]"
132,BEACON AVE S,d,Current,#FF0000,Sharrows,"[(47.53759249807258, -122.2944277516897), (47.53709507502873, -122.29366836703664)]"
136,19TH AVE,d,Current,#FF0000,Sharrows,"[(47.60616434935185, -122.30763545687876), (47.60802107560285, -122.30762262827989)]"
137,MOUNT RAINIER DR S,d,Current,#FF0000,Sharrows,"[(47.57599985657301, -122.28534292173714), (47.575968256220726, -122.2853056590244), (47.57593580962161, -122.28527002108774), (47.57590255558242, -122.28523604738939), (47.57586853289651, -122.28520377842808), (47.5758337817872, -122.28517325266763), (47.57579834250402, -122.28514450649719), (47.57576225744162, -122.28511757325369), (47.57572556831899, -122.28509248418028), (47.57568831828524, -122.28506926848456), (47.57565055260749, -122.28504795439628), (47.575612313097515, -122.28502856589854), (47.57557364718038, -122.2850111271313), (47.57553459952723, -122.28499565800784), (47.57549521483582, -122.28498217636754), (47.57545554132528, -122.28497069911008), (47.57541562447421, -122.28496123787244), (47.57537551185277, -122.28495380538666), (47.57533524969408, -122.28494840916126), (47.575294887739325, -122.28494505680197), (47.575254473346284, -122.28494355771953)]"
140,ELLIOTT BAY TRL,e,Current,#00FF00,Multi use Trail,"[(47.616824378202956, -122.35760447493347), (47.61764071664787, -122.35862954073234), (47.61859314140919, -122.35987080661515), (47.62003092111335, -122.36173566232468), (47.62015980856926, -122.36191201344553), (47.62028497880248, -122.36209364883894), (47.62039221572886, -122.36225318648977), (47.62054946199423, -122.36248969387718), (47.62060989811075, -122.36260471716146), (47.62068397124443, -122.36279024627346), (47.620768687199806, -122.36299765851444), (47.62078239590073, -122.36306277475228), (47.62078517096135, -122.36312756847369), (47.62076506427088, -122.36326718676528), (47.62075668818034, -122.36334783158713), (47.62075603595351, -122.36339634647264), (47.62078075895359, -122.36343650015372), (47.62085977145636, -122.36354500098301), (47.62088091389655, -122.36359954974007), (47.62088726070649, -122.36366984137754), (47.62088617340756, -122.36375070075339), (47.62087058040299, -122.3638257396525), (47.62087547711901, -122.36400384343035), (47.62088918525821, -122.36406895902891), (47.62093241219027, -122.36410797979555), (47.62099415252414, -122.3641259745959), (47.62107389732368, -122.36416067735574), (47.62117748679891, -122.36432011546842), (47.621223052831915, -122.36445627557251), (47.62128756666565, -122.36453906528824), (47.621901137171925, -122.36527436976624), (47.6220477338394, -122.36548900738951), (47.62217567193448, -122.36573545357112), (47.62226074616134, -122.36591592413714), (47.62229289366565, -122.36596540674765), (47.62238284624397, -122.36605434345465), (47.622527176400716, -122.36616645310744), (47.62265292001199, -122.36630498109838), (47.6227745839391, -122.36647574582018), (47.62285601245539, -122.36665611225199), (47.62293423124634, -122.36680402721043), (47.6230131769397, -122.36689803387979), (47.623103273367114, -122.366976191848), (47.623171793819814, -122.36703214121242), (47.62331619565879, -122.36713886447492), (47.623391713780556, -122.36721659346426), (47.62345221847457, -122.367326237727), (47.62347292313969, -122.3674131356509), (47.62350033547834, -122.36754337518062), (47.623528401703915, -122.36762509846905), (47.62357891648284, -122.36766433915865), (47.62365530706176, -122.36767737824084), (47.62374226716658, -122.36771769406155), (47.62378549284461, -122.36775671999955), (47.623997177619536, -122.36801104379974), (47.624053964318776, -122.36812597361273), (47.62412518365038, -122.368252114553), (47.62419275759258, -122.36837814930986), (47.62430734818247, -122.36853253612828), (47.62440837708509, -122.3686110215586), (47.624693242231814, -122.36884593974604), (47.62476168832927, -122.36890728421223), (47.62478968085297, -122.36899440013275), (47.62479230704431, -122.36906998210515), (47.624787207670614, -122.3691776935603), (47.62476395826639, -122.36927947702999), (47.62472992069489, -122.36937015462725), (47.624725184126255, -122.36945091117539), (47.624795892609605, -122.36961479430164), (47.62495370579217, -122.36980821413145), (47.62516808967271, -122.370402400788), (47.625181648524105, -122.37047830646569), (47.6251854269584, -122.37063060880119), (47.62544148077929, -122.37117319730693), (47.62558086819123, -122.37137920635713), (47.62570467815221, -122.3714753997948), (47.62578323937617, -122.37155343120072), (47.625827806881496, -122.37162204586586), (47.62586055041466, -122.37172395886226), (47.625852705927755, -122.37188355457609), (47.62580575228345, -122.37199152524431), (47.625792223105364, -122.37215095259491), (47.62583565333073, -122.37230365539875), (47.62591319137786, -122.37245736557512), (47.625955710745565, -122.3726773379639), (47.62599902513255, -122.37283845001686), (47.62601414591375, -122.37298190333277), (47.62606928633459, -122.3731097168273), (47.626141250633474, -122.37325485216206), (47.62620184540321, -122.37339965233045), (47.62639182144952, -122.37364922952258), (47.62644661900713, -122.37380227099442), (47.62648981869085, -122.37397179397321), (47.626502888337725, -122.37426660727935), (47.62643989487718, -122.37471899879145), (47.626543117826884, -122.37507536784625), (47.62656971830217, -122.37521075287722), (47.62655379283242, -122.37554676762164), (47.62661358776639, -122.37575043295556), (47.62682854584603, -122.37667374010756), (47.62683085604712, -122.37759724961778), (47.62683052345905, -122.37760753523985), (47.62683061509436, -122.3776144919628), (47.62683096107537, -122.37762143131592), (47.62683156028021, -122.37762833249829), (47.62683241227487, -122.37763517576806), (47.626833513116935, -122.37764194127908), (47.62683486030944, -122.37764860611317), (47.626836449839395, -122.377655155614), (47.62683827640334, -122.37766156677976), (47.62684033531486, -122.37766782285752), (47.62684262051233, -122.37767390497646), (47.6268451252324, -122.3776797942453), (47.62684784198201, -122.37768547382738), (47.626850762552365, -122.37769092790354), (47.62685387803272, -122.37769614063356), (47.6268571816177, -122.37770109623973), (47.62686066020079, -122.37770577771896), (47.6268643062042, -122.37771017446244), (47.626868107181, -122.37771427260157), (47.62687205276085, -122.3777180604067), (47.626876131871825, -122.37772152612654), (47.6268803313089, -122.37772466002367), (47.62688463927006, -122.37772745240227), (47.626889043925516, -122.37772989564245), (47.626893529936936, -122.37773198201995), (47.626898088252865, -122.37773370607432), (47.62690270140179, -122.37773506209453), (47.62690735752561, -122.37773604453687), (47.62691204326414, -122.37773665508094), (47.62691674464027, -122.37773688915854), (47.6269615166961, -122.37777127834745), (47.62764354825668, -122.3777999418492), (47.62780237287507, -122.37782989482892), (47.63155589004836, -122.3778363579025)]"
141,BURKE GILMAN TRL,e,Current,#00FF00,Multi use Trail,"[(47.65658226003029, -122.36359147124546), (47.656489847034656, -122.3634850021679), (47.65648385684351, -122.36345984708231), (47.65648141473983, -122.36342191431396)]"
142,1ST AVE N,i,Current,#FFFF00,In street major separation,"[(47.61976813386913, -122.35544337975084), (47.62093570634744, -122.35543382628434)]"
